text,airline
what said,Virgin America
plus you ve added commercials to the experience tacky,Virgin America
i didn t today must mean i need to take another trip,Virgin America
it s really aggressive to blast obnoxious entertainment in your guests faces they have little recourse,Virgin America
and it s a really big bad thing about it,Virgin America
seriously would pay a flight for seats that didn t have this playing it s really the only bad thing about flying va,Virgin America
yes nearly every time i fly vx this ear worm won t go away,Virgin America
really missed a prime opportunity for men without hats parody there,Virgin America
well i didn t but now i do d,Virgin America
it was amazing and arrived an hour early you re too good to me,Virgin America
did you know that suicide is the second leading cause of death among teens,Virgin America
i pretty graphics so much better than minimal iconography d,Virgin America
this is such a great deal already thinking about my nd trip to i haven t even gone on my st trip yet p,Virgin America
i m flying your fabulous seductive skies again u take all the stress away from travel,Virgin America
thanks,Virgin America
sfo pdx schedule is still mia,Virgin America
so excited for my first cross country flight lax to mco i ve heard nothing but great things about virgin america daystogo,Virgin America
i flew from nyc to sfo last week and couldn t fully sit in my seat due to two large gentleman on either side of me help,Virgin America
i flying,Virgin America
you know what would be amazingly awesome bos fll please i want to fly with only you,Virgin America
why are your first fares in may over three times more than other carriers when all seats are available to select,Virgin America
i love this graphic,Virgin America
i love the hipster innovation you are a feel good brand,Virgin America
will you be making bos las non stop permanently anytime soon,Virgin America
you guys messed up my seating i reserved seating with my friends and you guys gave my seat away i want free internet,Virgin America
status match program i applied and it s been three weeks called and emailed with no response,Virgin America
what happened ur vegan food options at least say on ur site so i know i won t be able eat anything for next hrs fail,Virgin America
do you miss me don t worry we ll be together very soon,Virgin America
amazing to me that we can t get any cold air from the vents vx noair worstflightever roasted sfotobos,Virgin America
lax to ewr middle seat on a red eye such a noob maneuver sendambien andchexmix,Virgin America
hi i just bked a cool birthday trip with you but i can t add my elevate no cause i entered my middle name during flight booking problems,Virgin America
are the hours of operation for the club at sfo that are posted online current,Virgin America
help left expensive headphones on flight iad to lax today seat a no one answering l f number at lax,Virgin America
awaiting my return phone call just would prefer to use your online self service option,Virgin America
this is great news america could start flights to hawaii by end of year via,Virgin America
nice rt vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience,Virgin America
moodlighting is the only way to fly best experience ever cool and calming moodlitmonday,Virgin America
done and done best airline around hands down,Virgin America
when can i book my flight to hawaii,Virgin America
your chat support is not working on your site,Virgin America
view of downtown los angeles the hollywood sign and beyond that rain in the mountains,Virgin America
hey first time flyer next week excited but i m having a hard time getting my flights added to my elevate account help,Virgin America
plz help me win my bid upgrade for my flight lax sea,Virgin America
i have an unused ticket but moved to a new city where you don t fly how can i fly with you before it expires travelhelp,Virgin America
are flights leaving dallas for seattle on time feb,Virgin America
i m elevategold for a good reason you rock,Virgin America
dream,Virgin America
wow this just blew my mind,Virgin America
after last night tribute soundofmusic oscars i think agree,Virgin America
all were entertaining,Virgin America
is flight on it s way was supposed to take off minutes ago website still shows on time not in flight thanks,Virgin America
julie andrews all the way though was very impressive no to,Virgin America
wish you flew out of atlanta soon,Virgin America
