,text,airline
0,what said,Virgin America
1,plus you ve added commercials to the experience tacky,Virgin America
2,i didn t today must mean i need to take another trip,Virgin America
3,it s really aggressive to blast obnoxious entertainment in your guests faces they have little recourse,Virgin America
4,and it s a really big bad thing about it,Virgin America
5,seriously would pay a flight for seats that didn t have this playing it s really the only bad thing about flying va,Virgin America
6,yes nearly every time i fly vx this ear worm won t go away,Virgin America
7,really missed a prime opportunity for men without hats parody there,Virgin America
8,well i didn t but now i do d,Virgin America
9,it was amazing and arrived an hour early you re too good to me,Virgin America
10,did you know that suicide is the second leading cause of death among teens,Virgin America
11,i pretty graphics so much better than minimal iconography d,Virgin America
12,this is such a great deal already thinking about my nd trip to i haven t even gone on my st trip yet p,Virgin America
13,i m flying your fabulous seductive skies again u take all the stress away from travel,Virgin America
14,thanks,Virgin America
15,sfo pdx schedule is still mia,Virgin America
16,so excited for my first cross country flight lax to mco i ve heard nothing but great things about virgin america daystogo,Virgin America
17,i flew from nyc to sfo last week and couldn t fully sit in my seat due to two large gentleman on either side of me help,Virgin America
18,i flying,Virgin America
19,you know what would be amazingly awesome bos fll please i want to fly with only you,Virgin America
20,why are your first fares in may over three times more than other carriers when all seats are available to select,Virgin America
21,i love this graphic,Virgin America
22,i love the hipster innovation you are a feel good brand,Virgin America
23,will you be making bos las non stop permanently anytime soon,Virgin America
24,you guys messed up my seating i reserved seating with my friends and you guys gave my seat away i want free internet,Virgin America
25,status match program i applied and it s been three weeks called and emailed with no response,Virgin America
26,what happened ur vegan food options at least say on ur site so i know i won t be able eat anything for next hrs fail,Virgin America
27,do you miss me don t worry we ll be together very soon,Virgin America
28,amazing to me that we can t get any cold air from the vents vx noair worstflightever roasted sfotobos,Virgin America
29,lax to ewr middle seat on a red eye such a noob maneuver sendambien andchexmix,Virgin America
30,hi i just bked a cool birthday trip with you but i can t add my elevate no cause i entered my middle name during flight booking problems,Virgin America
31,are the hours of operation for the club at sfo that are posted online current,Virgin America
32,help left expensive headphones on flight iad to lax today seat a no one answering l f number at lax,Virgin America
33,awaiting my return phone call just would prefer to use your online self service option,Virgin America
34,this is great news america could start flights to hawaii by end of year via,Virgin America
35,nice rt vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience,Virgin America
36,moodlighting is the only way to fly best experience ever cool and calming moodlitmonday,Virgin America
37,done and done best airline around hands down,Virgin America
38,when can i book my flight to hawaii,Virgin America
39,your chat support is not working on your site,Virgin America
40,view of downtown los angeles the hollywood sign and beyond that rain in the mountains,Virgin America
41,hey first time flyer next week excited but i m having a hard time getting my flights added to my elevate account help,Virgin America
42,plz help me win my bid upgrade for my flight lax sea,Virgin America
43,i have an unused ticket but moved to a new city where you don t fly how can i fly with you before it expires travelhelp,Virgin America
44,are flights leaving dallas for seattle on time feb,Virgin America
45,i m elevategold for a good reason you rock,Virgin America
46,dream,Virgin America
47,wow this just blew my mind,Virgin America
48,after last night tribute soundofmusic oscars i think agree,Virgin America
49,all were entertaining,Virgin America
50,is flight on it s way was supposed to take off minutes ago website still shows on time not in flight thanks,Virgin America
51,julie andrews all the way though was very impressive no to,Virgin America
52,wish you flew out of atlanta soon,Virgin America
53,julie andrews hands down,Virgin America
54,will flights be leaving dallas for la on february th,Virgin America
55,hi i m so excited about your lga dal deal but i ve been trying book since last week the page never loads thx,Virgin America
56,you know it need it on my spotify stat guiltypleasures,Virgin America
57,i m lady gaga she is amazing,Virgin America
58,carrie,Virgin America
59,new marketing song let us know what you think,Virgin America
60,julie andrews first but lady gaga wow d me last night carrie meh,Virgin America
61,i called a weeks ago about adding flights from to my elevate they still haven t shown up help,Virgin America
62,all are great but i have to go with carrieunderwood,Virgin America
63,sorry mary martin had it first,Virgin America
64,love all three but you really can t beat the classics,Virgin America
65,flight dal to dca pm tried to check in could not status please,Virgin America
66,heyyyy guyyyys been trying to get through for an hour can someone call me please,Virgin America
67,hi virgin i m on hold for minutes are there any earlier flights from la to nyc tonight earlier than pm,Virgin America
68,congrats on winning the award for best deals from an airline us,Virgin America
69,everything was fine until you lost my bag,Virgin America
70,need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online,Virgin America
71,i emailed your customer service team let me know if you need the tracking number,Virgin America
72,hi i just booked a flight but need to add baggage how can i do this,Virgin America
73,your airline is awesome but your lax loft needs to step up its game for dirty tables and floors,Virgin America
74,not worried it s been a great ride in a new plane with great crew all airlines should be like this,Virgin America
75,awesome i flew yall sat morning any way we can correct my bill,Virgin America
